Codigo,Materia_Prima,Aplicacion,Diam_Exterior,Diam_Interior,Largo
AV 1001,503112,1,41.20,47.17,10.00
AV 1002,472812,2,38.20,44.17,11.00
AV 1003,543813,3,44.10,53.18,11.50
AV 1004,543813,4,41.00,47.18,11.50
AV 1011,433210,5,35.00,42.07,6.50
AV 1012,433210,6,29.00,36.00,6.50
AV 1035,433210,7,21.00,27.00,6.00
AV 1036,392610,8,19.80,25.00,6.00
AV 1047,392610,9,37.20,44.10,7.10
AV 1048,392610,10,30.90,37.50,7.10
AV 1049,311310,11,34.00,42.17,8.30
AV 1050,392910,12,30.00,36.15,6.30
AV 1105,543313,13,41.00,48.25,6.30
AV 4300,311310,14,23.00,35.00,8.00
AV 4310,392910,15,35.00,52.00,10.00
AV 4311,543313,16,36.00,46.00,9.00
AV 4312,321810,17,33.50,43.50,9.00
AV 4313,321810,18,31.00,41.00,8.00
AV 4314,321810,19,27.50,38.50,8.00
AV 4315,372610,20,26.00,36.50,8.00
AV 4316,624710,21,24.00,33.50,8.00
AV 4317,452912,22,20.00,30.01,8.00
AV 4318,463210,23,45.00,65.00,12.00
AV 4319,352309,24,35.00,52.01,11.00
AV 4320,54389.5,25,26.00,40.01,9.00
AV 4321,372610,26,30.00,44.01,10.00
AV 4322,624710,27,33.00,48.00,10.00
AV 4323,452912,28,24.00,34.01,8.00
AV 4324,463210,29,40.00,56.01,11.00
AV 4325,352309,30,26.00,37.00,8.00
AV 4326,54389.5,31,33.00,47.01,8.00
AV 4327,463210,32,35.00,52.00,12.00
AV 4328,503112,33,40.00,55.00,10.00
AV 4329,503112,34,23.00,35.01,9.00
AV 4330,503112,35,30.00,45.01,10.00
AV 4331,503112,36,45.00,60.00,11.00
AV 4332,472812,37,33.30,39.80,4.50
AV 4333,543813,38,33.20,39.83,5.50
AV 4334,543813,39,30.90,38.50,8.50
AV 4335,433210,40,15.00,29.00,9.00
AV 4336,433210,41,37.00,50.20,9.00
AV 4337,433210,42,39.00,50.20,9.00
AV 4338,392610,43,35.00,54.01,11.00
AV 4339,392610,44,35.00,56.01,11.00
AV 4340,392610,1,21.50,27.08,8.00
AV 4341,311310,2,20.05,25.02,6.50
AV 4342,392910,3,27.00,35.00,7.00
AV 4343,543313,4,27.00,36.00,7.00
AV 4344,311310,5,35.00,43.00,7.00
AV 4350B,392910,6,18.50,25.20,9.00
AV 4351B,543313,7,19.50,28.00,8.50
AV 4352B,321810,8,21.00,29.00,9.00
AV 4353B,321810,9,25.50,31.90,9.00
AV 4354B,321810,10,23.00,34.00,9.00
AV 4355,372610,11,33.60,41.21,6.60
AV 4356,624710,12,45.00,60.00,8.00
AV 4357,452912,13,,,
AV 8005,463210,14,47.15,56.18,11.75
AV 8006,352309,15,42.00,49.18,11.50
AV 8019,54389.5,16,50.85,61.09,8.00
AV 8020,372610,17,43.00,51.09,8.00
AV 8023,624710,18,36.20,45.67,9.90
AV 8024,452912,19,31.00,40.17,9.75
AV 8027,463210,20,36.30,44.01,8.00
AV 8028,352309,21,29.60,37.01,7.50
AV 8037,54389.5,22,30.50,35.15,6.00
AV 8038,463210,23,25.50,31.50,6.00
AV 8039,503112,24,30.10,35.65,9.20
AV 8040,503112,25,25.30,30.65,6.20
AV 8041,503112,26,31.70,39.60,7.00
AV 8042,503112,27,30.10,35.20,6.20
AV 8044,472812,28,28.00,33.75,7.00
AV 8049,543813,29,38.00,44.16,6.20
AV 8050,543813,30,31.00,37.16,6.20
AV 8051,433210,31,38.00,44.50,7.00
AV 8052,433210,32,27.00,34.00,7.00
AV 8053,433210,33,36.90,45.07,8.30
AV 8054,392610,34,28.00,38.07,8.50
AV 8055,392610,35,40.30,51.30,7.20
AV 8056,392610,36,31.70,42.67,9.50
AV 8059,311310,37,35.50,43.65,10.40
AV 8060,392910,38,30.50,37.20,7.00
AV 8061,543313,39,52.40,63.60,12.70
AV 8062,311310,40,50.80,63.60,12.70
AV 8063,392910,41,57.95,65.79,15.88
AV 8064,543313,42,53.98,61.85,15.88
AV 8069,321810,43,45.97,54.07,11.12
AV 8070,321810,44,42.92,51.10,11.12
AV 8071,321810,1,47.23,54.61,7.42
AV 8072,372610,2,41.27,48.56,7.14
AV 8073,624710,3,39.68,46.02,9.27
AV 8074,452912,4,36.50,42.85,9.27
AV 8081,463210,5,25.20,32.03,6.33
AV 8092,352309,6,52.00,62.00,7.55
AV 8093,54389.5,7,43.00,52.98,7.55
AV 8094,372610,8,29.00,35.15,8.10
AV 8095,624710,9,27.70,33.15,8.00
AV 8096,452912,10,29.00,35.00,7.80
AV 8097,463210,11,27.50,33.10,7.30
AV 8098,352309,12,32.50,39.01,8.40
AV 8099,54389.5,13,27.30,33.55,8.00
AV 8100,463210,14,37.00,45.07,8.30
AV 8101,503112,15,39.30,47.12,8.50
AV 8105,503112,16,42.00,55.00,10.00
AV 8106,503112,17,39.00,49.00,10.00
AV 8107,503112,18,39.10,46.19,6.23
AV 8108,472812,19,39.20,46.19,7.50
AV 8109,543813,20,35.35,42.10,7.47
AV 8116,543813,21,40.90,47.20,5.30
AV 8117,433210,22,36.00,41.61,5.50
AV 8119,433210,23,47.50,56.00,7.40
AV 8120,433210,24,40.60,52.03,10.30
AV 8123,392610,25,51.00,61.12,9.40
AV 8124,392610,26,43.10,53.11,9.70
AV 8159,392610,27,33.60,40.15,6.25
AV 8160,311310,28,28.80,34.13,5.55
AV 8162,392910,29,30.00,36.08,7.00
AV 8171,543313,30,37.00,51.07,7.47
AV 8172,311310,31,31.00,40.07,7.47
AV 8185,392910,32,51.10,60.12,9.40
AV 8189,543313,33,34.00,42.08,8.00
AV 8190,321810,34,29.00,36.06,7.00
AV 8194,321810,35,37.00,51.07,7.47
AV 8196,321810,36,34.50,43.88,7.70
AV 8198,372610,37,47.70,56.00,7.75
AV 8210,624710,38,30.00,36.65,8.50
AV 8211,452912,39,27.00,32.65,9.00
AV 8212,463210,40,33.00,38.35,9.50
AV 8213,352309,41,35.60,40.15,9.50
AV 8214,54389.5,42,33.60,39.10,9.50
AV 8215,372610,43,29.50,35.10,9.50
AV 8216,624710,44,28.00,34.65,9.50
AV 8217,452912,1,26.00,32.10,9.50
AV 8218,463210,2,34.60,43.16,7.00
AV 8219,352309,3,33.00,39.09,7.00
AV 8220,54389.5,4,37.00,46.15,7.50
AV 8221,463210,5,31.10,39.15,7.50
AV 8316,503112,6,49.00,59.12,6.75
AV 8317,503112,7,45.00,56.60,9.50
AV 8318,503112,8,44.50,54.11,6.75
AV 8319,503112,9,40.10,51.11,9.50
AV 8320,472812,10,44.30,54.06,6.70
AV 8321,543813,11,40.00,49.06,11.50
AV 8325,543813,12,31.70,39.50,7.00
AV 8326,433210,13,26.00,33.00,7.00
AV 8327,433210,14,39.00,46.00,7.00
AV 8328,433210,15,31.70,39.50,7.00
AV 8329,392610,16,36.50,44.00,8.00
AV 8330,392610,17,29.70,38.70,7.00
AV 8331,392610,18,36.20,40.49,8.00
AV 8332,311310,19,30.80,38.09,8.40
AV 8335,392910,20,62.22,76.24,14.00
AV 8336,543313,21,54.00,62.03,8.00
AV 8337,311310,22,45.00,53.06,9.51
AV 8338,392910,23,42.00,50.03,6.14
AV 8339,543313,24,33.80,41.03,7.00
AV 8340,321810,25,52.00,58.55,4.08
AV 8341,321810,26,43.00,51.10,7.52
AV 8342,321810,27,39.00,48.10,6.50
AV 8343,372610,28,30.00,39.10,7.50
AV 8344,624710,29,33.00,41.10,7.50
AV 8345,452912,30,29.00,33.15,7.50
AV 8346,463210,31,37.00,43.65,6.00
AV 8347,352309,32,30.00,36.15,6.00
AV 8348,54389.5,33,31.00,40.20,6.00
AV 8349,372610,34,26.50,34.20,6.00
AV 8350,624710,35,42.00,52.10,7.70
AV 8351,452912,36,36.50,45.60,7.70
AV 8352,463210,37,50.00,61.00,10.00
AV 8353,352309,38,45.00,55.00,9.00
AV 8354,54389.5,39,49.30,55.35,7.40
AV 8355,463210,40,39.00,52.00,10.30
AV 8356,503112,41,37.00,44.70,10.00
AV 8357,503112,42,31.00,37.20,7.00
AV 8358,503112,43,27.00,32.70,7.00
AV 8359,503112,44,42.90,50.88,7.10
AV 8360,472812,1,38.60,46.02,5.70
AV 8361,543813,2,23.50,29.50,5.70
AV 8362,543813,3,29.30,36.66,6.37
AV 8363,433210,4,39.10,48.22,6.95
AV 8364,433210,5,43.10,51.19,8.15
AV 8365,433210,6,35.00,43.18,8.15
AV 8366,392610,7,44.83,55.00,7.62
AV 8367,392610,8,37.08,47.00,7.62
AV 8368,392610,9,44.83,55.56,7.62
AV 8369,311310,10,37.08,47.62,7.62
AV 8370,392910,11,36.25,43.08,7.45
AV 8371,543313,12,32.30,39.08,7.45
AV 8372,311310,13,43.00,50.00,6.00
AV 8373,392910,14,32.70,38.70,6.50
AV 8374,543313,15,27.50,34.00,6.50
AV 8375,321810,16,42.00,52.40,9.50
AV 8376,321810,17,35.00,43.00,9.50
AV 8377,321810,18,31.00,37.02,7.80
AV 8378,372610,19,26.90,33.00,7.50
AV 8379,624710,20,37.00,43.00,6.00
AV 8380,452912,21,44.70,52.00,8.70
AV 8381,463210,22,42.70,50.86,8.10
AV 8382,352309,23,20.00,26.60,6.00
AV 8383,54389.5,24,45.00,55.10,9.00
AV 8384,372610,25,33.70,39.90,6.00
AV 8385,624710,26,34.00,41.40,7.00
AV 8386,452912,27,35.00,42.20,8.50
AV 8387,463210,28,31.00,36.20,8.50
AV 8388,352309,29,25.50,31.60,6.00
AV 8389,54389.5,30,45.00,56.75,9.80
AV 8390,463210,31,49.00,59.12,6.75
AV 8391,503112,32,44.50,54.11,6.75
AV 8392,503112,33,40.00,49.05,9.50
AV 8393,503112,34,37.50,46.08,6.15
AV 8394,503112,35,34.00,44.07,8.90
AV 8395,472812,36,23.00,29.85,6.20
AV 8396,543813,37,24.00,30.00,6.50
AV 8397,543813,38,23.00,28.84,5.90
AV 8398,433210,39,29.40,35.30,8.20
AV 8399,433210,40,34.00,42.15,7.00
AV 8400,433210,41,28.00,34.15,7.00
AV 8401,392610,42,36.70,42.95,4.53
AV 8402,392610,43,39.60,46.90,7.00
AV 8403,392610,44,38.00,47.07,6.90
AV 8404,311310,1,34.50,43.73,6.72
AV 8405,392910,2,44.50,54.00,8.20
AV 8406,543313,3,40.00,47.18,5.85
AV 8407,311310,4,40.50,48.70,6.00
AV 8408,392910,5,33.00,39.60,6.00
AV 8409,543313,6,43.00,50.92,11.40
AV 8410,321810,7,39.50,47.74,11.41
AV 8411,321810,8,26.00,30.50,8.00
AV 8412,321810,9,24.00,29.00,8.00
AV 8413,372610,10,36.20,41.60,6.20
AV 8414,624710,11,30.00,36.10,6.00
AV 8415,452912,12,35.80,43.00,8.00
AV 8416,463210,13,29.50,37.05,8.00
AV 8417,352309,14,26.00,32.15,7.00
AV 8418,54389.5,15,34.50,43.30,8.20
AV 8419,372610,16,44.10,53.14,7.30
AV 8420,624710,17,40.10,47.14,7.30
AV 8421,452912,18,48.00,59.07,9.00
AV 8422,463210,19,41.10,51.07,9.95
AV 8423,352309,20,35.50,44.20,7.20
AV 8424,54389.5,21,30.50,37.55,7.20
AV 8425,463210,22,36.30,44.15,8.00
AV 8426,503112,23,31.60,39.55,7.00
AV 8427,503112,24,34.60,42.07,8.00
AV 8428,503112,25,29.00,36.05,7.50
AV 8429,503112,26,30.00,36.65,8.00
