Codigo,Diam_Exterior,Diam_Interior,Largo,Materia_Prima,Aplicacion
AV 1001,41.2,47.17,10,503112,1
AV 1002,38.2,44.17,11,472812,2
AV 1003,44.1,53.18,11.5,543813,3
AV 1004,41,47.18,11.5,543813,4
AV 1011,35,42.07,6.5,433210,5
AV 1012,29,36,6.5,433210,6
AV 1035,21,27,6,433210,7
AV 1036,19.8,25,6,392610,8
AV 1047,37.2,44.1,7.1,392610,9
AV 1048,30.9,37.5,7.1,392610,10
AV 1049,34,42.17,8.3,311310,11
AV 1050,30,36.15,6.3,392910,12
AV 1105,41,48.25,6.3,543313,13
AV 4300,23,35,8,311310,14
AV 4310,35,52,10,392910,15
AV 4311,36,46,9,543313,16
AV 4312,33.5,43.5,9,321810,17
AV 4313,31,41,8,321810,18
AV 4314,27.5,38.5,8,321810,19
AV 4315,26,36.5,8,372610,20
AV 4316,24,33.5,8,624710,21
AV 4317,20,30.01,8,452912,22
AV 4318,45,65,12,463210,23
AV 4319,35,52.01,11,352309,24
AV 4320,26,40.01,9,54389.5,25
AV 4321,30,44.01,10,372610,26
AV 4322,33,48,10,624710,27
AV 4323,24,34.01,8,452912,28
AV 4324,40,56.01,11,463210,29
AV 4325,26,37,8,352309,30
AV 4326,33,47.01,8,54389.5,31
AV 4327,35,52,12,463210,32
AV 4328,40,55,10,503112,33
AV 4329,23,35.01,9,503112,34
AV 4330,30,45.01,10,503112,35
AV 4331,45,60,11,503112,36
AV 4332,33.3,39.8,4.5,472812,37
AV 4333,33.2,39.83,5.5,543813,38
AV 4334,30.9,38.5,8.5,543813,39
AV 4335,15,29,9,433210,40
AV 4336,37,50.2,9,433210,41
AV 4337,39,50.2,9,433210,42
AV 4338,35,54.01,11,392610,43
AV 4339,35,56.01,11,392610,44
AV 4340,21.5,27.08,8,392610,1
AV 4341,20.05,25.02,6.5,311310,2
AV 4342,27,35,7,392910,3
AV 4343,27,36,7,543313,4
AV 4344,35,43,7,311310,5
AV 4350B,18.5,25.2,9,392910,6
AV 4351B,19.5,28,8.5,543313,7
AV 4352B,21,29,9,321810,8
AV 4353B,25.5,31.9,9,321810,9
